Month of Order Date,Product Name,Sales
13-Mar,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",62
13-Mar,PowerGen Dual USB Car Charger,10
13-Mar,Polycom VoiceStation 500 Conferenceæphone,472
13-Mar,Poly String Tie Envelopes,6
13-Mar,Plymouth Boxed Rubber Bands by Plymouth,19
13-Mar,Peel-Off China Markers,50
13-Mar,Panasonic KX-TG9471B,588
13-Mar,Ooma Telo VoIP Home Phone System,605
13-Mar,Office Star - Task Chair with Contemporary Loop Arms,437
13-Mar,Office Star - Mesh Screen back chair with Vinyl seat,314
13-Mar,O'Sullivan Living Dimensions 2-Shelf Bookcases,206
13-Mar,O'Sullivan 4-Shelf Bookcase in Odessa Pine,302
13-Mar,Novimex Swivel Fabric Task Chair,634
13-Mar,Newell Chalk Holder,21
13-Mar,Newell 345,60
13-Mar,Newell 333,4
13-Mar,Newell 330,18
13-Mar,Newell 308,3
13-Mar,Newell 35,26
13-Mar,"Memo Book, 100 Message Capacity, 5 3/8î x 11î",47
13-Mar,Maxell DVD-RAM Discs,33
13-Mar,"LogitechæWireless Boombox Speaker - portable - wireless, wired",170
13-Mar,Logitech Wireless Gaming Headset G930,480
13-Mar,Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver,80
13-Mar,Insertable Tab Post Binder Dividers,7
13-Mar,Innergie mMini Combo Duo USB Travel Charging Kit,252
13-Mar,ImationæSwivelæFlash DriveæUSBæflash driveæ- 8 GB,45
13-Mar,Imationæ30456 USBæFlash Driveæ8GB,83
13-Mar,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",367
13-Mar,Ibico Plastic and Wire Spiral Binding Combs,13
13-Mar,Ibico Laser Imprintable Binding System Covers,126
13-Mar,Hypercom P1300 Pinpad,151
13-Mar,"Hot File 7-Pocket, Floor Stand",143
13-Mar,Hon 94000 Series Round Tables,1185
13-Mar,"Hon 30"" x 60"" Table with Locking Drawer",614
13-Mar,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,1396
13-Mar,Harbour Creations Steel Folding Chair,362
13-Mar,Griffin GC17055 Auxiliary Audio Cable,29
13-Mar,"Global Stack Chair without Arms, Black",127
13-Mar,"Global Push Button Manager's Chair, Indigo",49
13-Mar,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",1125
13-Mar,"Global Leather and Oak Executive Chair, Black",482
13-Mar,Global Highback Leather Tilter in Burgundy,218
13-Mar,Global Deluxe High-Back Manager's Chair,458
13-Mar,Global Commerce Series High-Back Swivel/Tilt Chairs,1140
13-Mar,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",22
13-Mar,GBC Wire Binding Combs,83
13-Mar,GBC VeloBinder Manual Binding System,43
13-Mar,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",30
13-Mar,GBC Prestige Therm-A-Bind Covers,51
13-Mar,GBC DocuBind 200 Manual Binding Machine,674
13-Mar,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",147
13-Mar,Fellowes Black Plastic Comb Bindings,8
13-Mar,Fellowes Bankers Box Recycled Super Stor/Drawer,130
13-Mar,Fellowes Advanced Computer Series Surge Protectors,53
13-Mar,"Executive Impressions 13"" Clairmont Wall Clock",31
13-Mar,Eldon Wave Desk Accessories,13
13-Mar,Eldon Shelf Savers Cubes and Bins,45
13-Mar,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",46
13-Mar,Eldon Cleatmat Chair Mats for Medium Pile Carpets,111
13-Mar,EcoTones Memo Sheets,16
13-Mar,Economy Rollaway Files,330
13-Mar,Economy #2 Pencils,8
13-Mar,"Eberhard Faber 3 1/2"" Golf Pencils",15
13-Mar,Document Clip Frames,20
13-Mar,DAX Wood Document Frame,33
13-Mar,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",40
13-Mar,DAX Black Cherry Wood-Tone Poster Frame,64
13-Mar,"Dana Fluorescent Magnifying Lamp, White, 36""",122
13-Mar,Crate-A-Files,26
13-Mar,"Contico 72""H Heavy-Duty Storage System",205
13-Mar,Cisco TelePresence System EX90 Videoconferencing Unit,22638
13-Mar,Cisco 8x8 Inc. 6753i IP Business Phone System,324
13-Mar,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,331
13-Mar,Catalog Binders with Expanding Posts,108
13-Mar,Carina Double Wide Media Storage Towers in Natural & Black,81
13-Mar,"Carina 42""Hx23 3/4""W Media Storage Unit",243
13-Mar,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",25
13-Mar,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",8
13-Mar,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",1198
13-Mar,Bush Advantage Collection Racetrack Conference Table,891
13-Mar,Bretford Rectangular Conference Table Tops,1580
13-Mar,"BOSTON Ranger #55 Pencil Sharpener, Black",83
13-Mar,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",17
13-Mar,Bionaire Personal Warm Mist Humidifier/Vaporizer,94
13-Mar,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",10
13-Mar,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7
13-Mar,"BIC Brite Liner Highlighters, Chisel Tip",16
13-Mar,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",25
13-Mar,Bevis Round Conference Room Tables and Bases,377
13-Mar,"Bevis Oval Conference Table, Walnut",626
13-Mar,Belkin 6 Outlet Metallic Surge Strip,33
13-Mar,Balt Solid Wood Round Tables,1072
13-Mar,Avery Round Ring Poly Binders,1
13-Mar,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,36
13-Mar,Avery Hole Reinforcements,2
13-Mar,Avery Hi-Liter Fluorescent Desk Style Markers,3
13-Mar,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",16
13-Mar,Avery Fluorescent Highlighter Four-Color Set,8
13-Mar,"Avery Flip-Chart Easel Binder, Black",34
13-Mar,Avery 505,59
13-Mar,Avery 501,12
13-Mar,Avery 495,15
13-Mar,Avery 492,14
13-Mar,Avery 490,44
13-Mar,Avery 476,10
13-Mar,AT&T TR1909W,302
13-Mar,"Array Parchment Paper, Assorted Colors",36
13-Mar,American Pencil,9
13-Mar,Airmail Envelopes,336
13-Mar,Acme Forged Steel Scissors with Black Enamel Handles,19
13-Mar,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",11
13-Mar,3.6 Cubic Foot Counter Height Office Refrigerator,177
13-Apr,Zipper Ring Binder Pockets,14
13-Apr,Xerox 1990,16
13-Apr,Xerox 1985,10
13-Apr,Xerox 1966,13
13-Apr,Xerox 1957,13
13-Apr,Xerox 1947,33
13-Apr,Xerox 1945,123
13-Apr,Xerox 1898,27
13-Apr,Xerox 1891,49
13-Apr,Xerox 232,71
13-Apr,Xerox 226,58
13-Apr,Xerox 224,10
13-Apr,Xerox 213,32
13-Apr,Xerox 211,19
13-Apr,Xerox 209,19
13-Apr,Xerox 194,55
13-Apr,X-Rack File for Hanging Folders,27
13-Apr,Wilson Jones Suede Grain Vinyl Binders,3
13-Apr,Things To Do Today Spiral Book,19
13-Apr,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",303
13-Apr,"Tenex File Box, Personal Filing Tote with Lid, Black",50
13-Apr,Tenex B1-RE Series Chair Mats for Low Pile Carpets,92
13-Apr,Staples,31
13-Apr,Staple envelope,259
13-Apr,Stanley Contemporary Battery Pencil Sharpeners,27
13-Apr,"Stacking Tray, Side-Loading, Legal, Smoke",9
13-Apr,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",72
13-Apr,Square Credit Card Reader,20
13-Apr,Space Solutions HD Industrial Steel Shelving.,690
13-Apr,Samsung Galaxy Mega 6.3,1680
13-Apr,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",1216
13-Apr,"SAFCO Commercial Wire Shelving, Black",829
13-Apr,Safco Commercial Shelving,233
13-Apr,Rogers Profile Extra Capacity Storage Tub,67
13-Apr,Riverside Furniture Stanwyck Manor Table Series,574
13-Apr,Recycled Steel Personal File for Standard File Folders,498
13-Apr,Recycled Pressboard Report Cover with Reinforced Top Hinge,18
13-Apr,RCA Visys Integrated PBX 8-Line Router,201
13-Apr,Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,300
13-Apr,Pyle PMP37LED,1075
13-Apr,Prismacolor Color Pencil Set,40
13-Apr,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",17
13-Apr,Prang Dustless Chalk Sticks,3
13-Apr,"Personal Folder Holder, Ebony",45
13-Apr,O'Sullivan Living Dimensions 2-Shelf Bookcases,308
13-Apr,Newell 351,13
13-Apr,Newell 347,21
13-Apr,Newell 321,23
13-Apr,Newell 319,79
13-Apr,Newell 314,18
13-Apr,Motorola Droid Maxx,1050
13-Apr,Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,217
13-Apr,Maxell 4.7GB DVD-RW 3/Pack,48
13-Apr,Martin-Yale Premier Letter Opener,10
13-Apr,Martin Yale Chadless Opener Electric Letter Opener,4164
13-Apr,Luxo Adjustable Task Clamp Lamp,178
13-Apr,Logitech Wireless Marathon Mouse M705,100
13-Apr,Logitech Wireless Headset h800,400
13-Apr,Logitech Wireless Gaming Headset G930,384
13-Apr,Logitech Wireless Anywhere Mouse MX for PC and Mac,336
13-Apr,Logitech G600 MMO Gaming Mouse,320
13-Apr,Large Capacity Hanging Post Binders,45
13-Apr,Kingston Digital DataTraveler 32GB USB 2.0,34
13-Apr,KI Adjustable-Height Table,155
13-Apr,Kensington Expert Mouse Optical USB Trackball for PC or Mac,228
13-Apr,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,271
13-Apr,Jawbone JAMBOX Wireless Bluetooth Speaker,758
13-Apr,ImationæSecure+ Hardware Encrypted USB 2.0æFlash Drive; 16GB,117
13-Apr,Ibico Standard Transparent Covers,115
13-Apr,Hunt Boston Vacuum Mount KS Pencil Sharpener,175
13-Apr,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",188
13-Apr,GuestStacker Chair with Chrome Finish Legs,1487
13-Apr,"Global Stack Chair without Arms, Black",52
13-Apr,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",563
13-Apr,Global Leather Executive Chair,562
13-Apr,"GE 4 Foot Flourescent Tube, 40 Watt",60
13-Apr,GBC Personal VeloBind Strips,10
13-Apr,GBC Durable Plastic Covers,58
13-Apr,G.E. Halogen Desk Lamp Bulbs,22
13-Apr,"Fellowes Twister Kit, Gray/Clear, 3/pkg",40
13-Apr,Fellowes PB200 Plastic Comb Binding Machine,510
13-Apr,"Executive Impressions 13"" Chairman Wall Clock",76
13-Apr,Euro-Pro Shark Turbo Vacuum,155
13-Apr,Enermax Briskie RF Wireless Keyboard and Mouse Combo,62
13-Apr,Eldon Simplefile Box Office,87
13-Apr,Economy Rollaway Files,826
13-Apr,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",55
13-Apr,DMI Arturo Collection Mission-style Design Wood Chair,317
13-Apr,Dax Clear Box Frame,17
13-Apr,Crayola Colored Pencils,23
13-Apr,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",654
13-Apr,"Carina Mini System Audio Rack, Model AR050B",178
13-Apr,Cameo Buff Policy Envelopes,149
13-Apr,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,33
13-Apr,Bush Advantage Collection Round Conference Table,744
13-Apr,Boston Home & Office Model 2000 Electric Pencil Sharpeners,71
13-Apr,Blackstonian Pencils,5
13-Apr,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",11
13-Apr,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",14
13-Apr,Binder Clips by OIC,2
13-Apr,Bevis Steel Folding Chairs,230
13-Apr,Bevis 36 x 72 Conference Tables,100
13-Apr,Belkin F9G930V10-GRY 9 Outlet Surge,107
13-Apr,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",66
13-Apr,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,18
13-Apr,Avery Non-Stick Binders,7
13-Apr,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",39
13-Apr,Avery File Folder Labels,7
13-Apr,Avery 518,19
13-Apr,Avery 495,13
13-Apr,Avery 490,30
13-Apr,Avery 488,3
13-Apr,Avery 479,8
13-Apr,Ativa MDM8000 8-Sheet Micro-Cut Shredder,288
13-Apr,AT&T TR1909W,630
13-Apr,AT&T SB67148 SynJ,106
13-Apr,AT&T CL82213,29
13-Apr,AT&T CL2909,302
13-Apr,AT&T 1080 Corded phone,438
13-Apr,"Alliance Super-Size Bands, Assorted Sizes",50
13-Apr,"Advantus Push Pins, Aluminum Head",12
13-Apr,Advantus Panel Wall Acrylic Frame,5
13-Apr,Adjustable Personal File Tote,52
13-Apr,ACCOHIDE Binder by Acco,17
13-Apr,"ACCOHIDE 3-Ring Binder, Blue, 1""",10
13-Apr,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",18
13-Apr,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",21
13-Apr,"Acco Banker's Clasps, 5 3/4""-Long",7
13-Apr,2300 Heavy-Duty Transfer File Systems by Perma,100
13-Apr,12 Colored Short Pencils,6
13-May,Xerox 1999,13
13-May,Xerox 1992,18
13-May,Xerox 1949,20
13-May,Xerox 1948,40
13-May,Xerox 1944,116
13-May,Xerox 1933,25
13-May,Xerox 213,10
13-May,Xblue XB-1670-86 X16 SmallæOffice Telephoneæ- Titanium,101
13-May,"Wirebound Service Call Books, 5 1/2"" x 4""",48
13-May,Wilson Jones Legal Size Ring Binders,211
13-May,Wilson Electronics DB Pro Signal Booster,1432
13-May,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),45
13-May,VTech DS6151,202
13-May,Surelock Post Binders,92
13-May,Strathmore Photo Frame Cards,15
13-May,"Strathmore #10 Envelopes, Ultimate White",158
13-May,Storex Dura Pro Binders,12
13-May,Staples,7
13-May,Staple-on labels,6
13-May,Staple holder,36
13-May,Staple envelope,56
13-May,Southworth 25% Cotton Premium Laser Paper and Envelopes,40
13-May,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,168
13-May,Sauder Inglewood Library Bookcases,291
13-May,"Sanford Colorific Scented Colored Pencils, 12/Pack",39
13-May,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,21
13-May,SanDisk Cruzer 64 GB USB Flash Drive,58
13-May,Samsung Galaxy Note 3,660
13-May,"SAFCO Mobile Desk Side File, Wire Frame",103
13-May,Rogers Profile Extra Capacity Storage Tub,67
13-May,Plantronics Voyager Pro Legend,618
13-May,Plantronics HL10 Handset Lifter,1114
13-May,Plantronics Encore H101 Dual EarpiecesæHeadset,45
13-May,Plantronics Audio 478 Stereo USB Headset,150
13-May,OIC Thumb-Tacks,5
13-May,Nortel Networks T7316 E Nt8 B27,136
13-May,Newell 350,7
13-May,Newell 335,9
13-May,Newell 317,21
13-May,netTALK DUO VoIP Telephone Service,84
13-May,Motorola L804,55
13-May,Model L Table or Wall-Mount Pencil Sharpener,108
13-May,Logitech Wireless Performance Mouse MX for PC and Mac,100
13-May,Logitech ClearChat Comfort/USB Headset H390,47
13-May,"Lifetime Advantage Folding Chairs, 4/Carton",872
13-May,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",44
13-May,Letter Slitter,5
13-May,Kingston Digital DataTraveler 32GB USB 2.0,68
13-May,KI Conference Tables,567
13-May,ImationæClip USBæflash driveæ- 8 GB,56
13-May,Imationæ30456 USBæFlash Driveæ8GB,28
13-May,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",512
13-May,Ibico Plastic Spiral Binding Combs,18
13-May,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,57
13-May,Honeywell Quietcare HEPA Air Cleaner,236
13-May,Hon Pagoda Stacking Chairs,257
13-May,Hon Olson Stacker Stools,225
13-May,Hon Multipurpose Stacking Arm Chairs,1213
13-May,Holmes Odor Grabber,58
13-May,Hewlett Packard LaserJet 3310 Copier,1800
13-May,Harmony Air Purifier,76
13-May,"Green Canvas Binder for 8-1/2"" x 14"" Sheets",137
13-May,Grandstream GXP1160 VoIP phone,114
13-May,"Global Value Mid-Back Manager's Chair, Gray",128
13-May,Global Deluxe Steno Chair,108
13-May,Global Commerce Series Low-Back Swivel/Tilt Chairs,360
13-May,Geemarc AmpliPOWER60,464
13-May,GBC ProClick Punch Binding System,448
13-May,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",26
13-May,GBC Poly Designer Binding Covers,40
13-May,GBC DocuBind P100 Manual Binding Machine,398
13-May,Fellowes Super Stor/Drawer,139
13-May,Fellowes Presentation Covers for Comb Binding Machines,17
13-May,Fellowes PB300 Plastic Comb Binding Machine,2716
13-May,Fellowes Officeware Wire Shelving,359
13-May,Fellowes Binding Cases,47
13-May,"Electrix Incandescent Magnifying Lamp, Black",29
13-May,Electrix Halogen Magnifier Lamp,311
13-May,"Eldon Regeneration Recycled Desk Accessories, Smoke",12
13-May,Eldon Portable Mobile Manager,45
13-May,EcoTones Memo Sheets,8
13-May,Easy-staple paper,35
13-May,DIXON Ticonderoga Erasable Checking Pencils,36
13-May,Deflect-o Glass Clear Studded Chair Mats,149
13-May,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",66
13-May,DAX Wood Document Frame,27
13-May,"DAX Value U-Channel Document Frames, Easel Back",35
13-May,Contemporary Borderless Frame,10
13-May,Chromcraft Rectangular Conference Tables,355
13-May,Brother DCP1000 Digital 3 in 1 Multifunction Machine,1200
13-May,Boston Home & Office Model 2000 Electric Pencil Sharpeners,38
13-May,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",17
13-May,"Bevis Traditional Conference Table Top, Plinth Base",700
13-May,Bestar Classic Bookcase,350
13-May,Belkin 8 Outlet Surge Protector,246
13-May,Belkin 6 Outlet Metallic Surge Strip,26
13-May,Balt Split Level Computer Training Table,194
13-May,Avery Non-Stick Binders,18
13-May,Avery Heavy-Duty EZD View Binder with Locking Rings,57
13-May,"Avery Durable Plastic 1"" Binders",11
13-May,Avery Arch Ring Binders,105
13-May,Avery 518,9
13-May,Avery 506,21
13-May,Avery 481,22
13-May,Apple iPhone 5,780
13-May,Angle-D Ring Binders,3
13-May,"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",14
