Order ID,Order Date,Ship Date,Ship Mode,Profit,Quantity,Sales
CA-2011-106803,2013-12-29,2014-01-02,Standard Class,54.80,6,144.36
CA-2011-106810,2013-05-14,2013-05-20,Standard Class,23.32,2,310.88
CA-2011-106971,2013-09-02,2013-09-08,Standard Class,95.19,7,475.94
CA-2011-107139,2013-07-05,2013-07-11,Standard Class,67.86,6,180.96
CA-2011-107153,2013-09-28,2013-10-03,Standard Class,12.49,3,46.26
CA-2011-107181,2013-02-04,2013-02-08,Standard Class,45.11,7,117.14
CA-2011-107398,2013-08-25,2013-08-30,Standard Class,-23.54,15,30.25
CA-2011-107454,2013-11-02,2013-11-06,Standard Class,40.16,13,124.20
CA-2011-107524,2013-03-02,2013-03-08,Standard Class,22.81,7,47.76
CA-2011-107573,2013-12-12,2013-12-17,Standard Class,7.63,3,23.47
CA-2011-107594,2013-07-02,2013-07-06,Standard Class,22.15,3,79.56
CA-2011-107706,2013-02-14,2013-02-19,Second Class,6.07,3,16.18
CA-2011-107755,2013-02-07,2013-02-12,Standard Class,49.60,7,115.36
CA-2011-107769,2013-10-28,2013-11-01,Standard Class,74.81,2,257.98
CA-2011-107811,2013-04-29,2013-05-03,Standard Class,68.95,7,661.50
CA-2011-107818,2013-09-08,2013-09-14,Standard Class,235.22,21,"1,771.52"
CA-2011-107916,2013-08-24,2013-08-26,First Class,10.81,5,25.95
CA-2011-108147,2013-06-08,2013-06-13,Standard Class,109.52,8,"1,745.36"
CA-2011-108182,2013-02-06,2013-02-10,Second Class,-14.77,2,8.95
CA-2011-108189,2013-10-02,2013-10-05,First Class,133.76,18,598.14
CA-2011-108273,2013-12-16,2013-12-21,Standard Class,-62.25,9,92.86
CA-2011-108609,2013-10-31,2013-11-02,Second Class,-734.53,8,"1,421.66"
CA-2011-108707,2013-10-24,2013-10-29,Standard Class,3.63,2,10.37
CA-2011-108861,2013-05-28,2013-06-01,Standard Class,51.36,4,136.96
CA-2011-108903,2013-10-03,2013-10-03,Same Day,5.52,10,212.95
CA-2011-109043,2013-08-15,2013-08-17,First Class,46.82,10,243.60
CA-2011-109127,2013-12-21,2013-12-25,Standard Class,7.95,6,17.28
CA-2011-109134,2013-11-05,2013-11-10,Standard Class,8.82,6,20.04
CA-2011-109218,2013-06-30,2013-07-03,Second Class,10.37,5,32.40
CA-2011-109232,2013-01-13,2013-01-16,Second Class,87.35,6,545.94
CA-2011-109302,2013-08-12,2013-08-16,Standard Class,98.11,7,196.21
CA-2011-109491,2013-02-20,2013-02-26,Standard Class,29.34,7,82.63
CA-2011-109680,2013-10-06,2013-10-09,First Class,54.09,2,386.34
CA-2011-109855,2013-09-01,2013-09-05,Standard Class,65.43,5,380.74
CA-2011-109890,2013-07-21,2013-07-27,Standard Class,10.07,2,35.98
CA-2011-109897,2013-08-12,2013-08-16,Standard Class,82.01,11,891.78
CA-2011-109904,2013-07-14,2013-07-17,Second Class,4.49,3,17.94
CA-2011-109918,2013-09-07,2013-09-12,Second Class,48.52,11,131.84
CA-2011-109932,2013-12-09,2013-12-11,First Class,24.49,5,247.78
CA-2011-110030,2013-12-06,2013-12-08,Second Class,-14.39,3,23.98
CA-2011-110065,2013-08-05,2013-08-11,Standard Class,43.74,8,151.95
CA-2011-110072,2013-10-22,2013-10-28,Standard Class,12.91,4,93.89
CA-2011-110100,2013-04-25,2013-04-29,Standard Class,37.80,3,302.38
CA-2011-110184,2013-07-12,2013-07-16,Standard Class,73.75,17,505.69
CA-2011-110219,2013-05-05,2013-05-08,First Class,-9.13,3,127.87
CA-2011-110352,2013-11-23,2013-11-29,Standard Class,8.88,2,23.68
CA-2011-110408,2013-10-18,2013-10-20,Second Class,444.69,14,"2,216.80"
CA-2011-110422,2013-01-21,2013-01-23,Second Class,4.10,3,25.25
CA-2011-110527,2013-08-09,2013-08-16,Standard Class,9.60,8,20.88
CA-2011-110555,2013-04-11,2013-04-18,Standard Class,124.95,15,410.10
CA-2011-110611,2013-10-06,2013-10-13,Standard Class,-13.64,5,83.92
CA-2011-110639,2013-08-23,2013-08-23,Same Day,34.94,8,71.84
CA-2011-110786,2013-12-29,2014-01-02,Standard Class,479.95,36,"1,365.63"
CA-2011-110849,2013-04-18,2013-04-23,Standard Class,108.14,15,323.46
CA-2011-111003,2013-06-01,2013-06-06,Standard Class,104.79,9,334.68
CA-2011-111059,2013-02-03,2013-02-06,Second Class,31.56,5,97.11
CA-2011-111150,2013-12-31,2014-01-04,Standard Class,27.74,14,77.21
CA-2011-111157,2013-03-02,2013-03-06,Standard Class,33.20,4,154.62
CA-2011-111192,2013-07-30,2013-08-05,Standard Class,259.89,8,"1,367.84"
CA-2011-111360,2013-11-24,2013-11-30,Standard Class,-4.59,3,5.74
CA-2011-111451,2013-12-26,2013-12-28,First Class,20.87,22,855.27
CA-2011-111500,2013-08-17,2013-08-21,Standard Class,187.74,20,484.79
CA-2011-111773,2013-06-29,2013-07-03,Standard Class,4.87,3,13.92
CA-2011-111857,2013-04-23,2013-04-26,Second Class,22.99,1,48.91
CA-2011-111871,2013-03-18,2013-03-21,Second Class,70.49,10,"1,198.33"
CA-2011-111899,2013-05-04,2013-05-05,First Class,4.68,8,43.31
CA-2011-111934,2013-05-05,2013-05-07,First Class,22.00,3,47.32
CA-2011-111962,2013-09-29,2013-10-04,Standard Class,156.61,7,817.80
CA-2011-112158,2013-12-02,2013-12-04,First Class,-41.94,17,"1,050.60"
CA-2011-112291,2013-04-03,2013-04-08,Standard Class,85.60,7,233.45
CA-2011-112326,2013-01-04,2013-01-08,Standard Class,-65.99,8,288.06
CA-2011-112403,2013-03-31,2013-03-31,Same Day,-0.60,1,0.85
CA-2011-112718,2013-12-16,2013-12-21,Standard Class,-0.86,1,1.17
CA-2011-112837,2013-09-11,2013-09-16,Standard Class,21.75,3,127.95
CA-2011-112851,2013-09-17,2013-09-21,Standard Class,85.98,3,182.94
CA-2011-113047,2013-10-24,2013-10-24,Same Day,3.79,3,11.85
CA-2011-113166,2013-12-24,2013-12-26,First Class,3.47,2,9.57
CA-2011-113257,2013-12-16,2013-12-18,Second Class,93.40,11,328.59
CA-2011-113271,2013-07-09,2013-07-14,Standard Class,29.47,14,172.10
CA-2011-113320,2013-12-12,2013-12-15,Second Class,9.58,9,30.72
CA-2011-113362,2013-09-14,2013-09-19,Standard Class,14.08,8,460.22
CA-2011-113383,2013-09-10,2013-09-13,First Class,98.59,9,336.82
CA-2011-113579,2013-12-13,2013-12-15,Second Class,41.51,6,90.24
CA-2011-113768,2013-05-13,2013-05-19,Standard Class,24.80,8,287.46
CA-2011-113859,2013-09-13,2013-09-17,Standard Class,-9.72,6,340.12
CA-2011-113880,2013-03-01,2013-03-05,Standard Class,-166.44,9,651.59
CA-2011-113887,2013-04-05,2013-04-07,First Class,26.63,1,55.48
CA-2011-113929,2013-06-16,2013-06-21,Standard Class,44.30,12,115.95
CA-2011-113964,2013-09-23,2013-09-30,Standard Class,6.92,4,18.46
CA-2011-114125,2013-07-09,2013-07-13,Standard Class,19.62,11,68.70
CA-2011-114181,2013-05-10,2013-05-14,Second Class,-211.68,12,372.29
CA-2011-114195,2013-11-01,2013-11-03,First Class,-4.24,7,94.26
CA-2011-114251,2013-11-05,2013-11-10,Standard Class,-127.15,17,"1,476.83"
CA-2011-114314,2013-10-11,2013-10-15,Standard Class,7.36,5,16.23
CA-2011-114321,2013-08-20,2013-08-25,Standard Class,575.91,16,"1,417.35"
CA-2011-114335,2013-09-28,2013-10-03,Standard Class,16.85,4,337.09
CA-2011-114433,2013-05-13,2013-05-17,Standard Class,52.49,3,149.97
CA-2011-114510,2013-03-14,2013-03-19,Standard Class,46.96,21,280.28
CA-2011-114517,2013-12-23,2013-12-27,Standard Class,-3.72,5,109.84
CA-2011-114643,2013-06-13,2013-06-17,Standard Class,4.79,3,14.52
CA-2011-114790,2013-03-11,2013-03-13,Second Class,223.98,11,782.63
CA-2011-115049,2013-09-26,2013-10-01,Standard Class,38.46,11,153.82
CA-2011-115056,2013-05-02,2013-05-02,Same Day,1.96,3,26.14
CA-2011-115084,2013-10-18,2013-10-22,Standard Class,145.28,6,605.34
CA-2011-115133,2013-09-26,2013-09-30,Standard Class,12.83,12,52.75
CA-2011-115161,2013-01-31,2013-02-02,First Class,3.42,2,290.67
CA-2011-115259,2013-08-25,2013-08-27,Second Class,67.71,25,199.26
CA-2011-115336,2013-11-18,2013-11-25,Standard Class,-23.89,5,14.48
CA-2011-115357,2013-08-06,2013-08-11,Second Class,22.65,3,62.91
CA-2011-115791,2013-01-16,2013-01-18,Second Class,-5.93,14,299.96
CA-2011-115812,2013-06-09,2013-06-14,Standard Class,300.77,38,"3,714.30"
CA-2011-115889,2013-11-02,2013-11-06,Standard Class,110.47,4,409.30
CA-2011-115973,2013-11-24,2013-11-26,First Class,0.43,1,2.62
CA-2011-115980,2013-07-15,2013-07-19,Standard Class,3.99,6,9.51
CA-2011-116190,2013-07-26,2013-08-01,Standard Class,104.14,18,256.48
CA-2011-116239,2013-03-04,2013-03-04,Same Day,17.75,5,354.90
CA-2011-116246,2013-09-12,2013-09-17,Second Class,420.59,6,"3,785.29"
CA-2011-116407,2013-11-15,2013-11-21,Standard Class,37.40,9,362.18
CA-2011-116568,2013-12-14,2013-12-20,Standard Class,13.97,4,186.30
CA-2011-116666,2013-05-08,2013-05-10,First Class,240.00,5,"1,799.97"
CA-2011-116673,2013-12-15,2013-12-19,Second Class,1.97,2,6.16
CA-2011-116757,2013-06-30,2013-07-04,Standard Class,16.26,11,47.23
CA-2011-116785,2013-04-26,2013-04-30,Standard Class,12.00,7,34.00
CA-2011-116834,2013-10-11,2013-10-16,Standard Class,77.69,16,408.47
CA-2011-116904,2013-09-23,2013-09-28,Standard Class,"4,668.69",17,"9,900.19"
CA-2011-116932,2013-07-21,2013-07-25,Standard Class,103.17,8,"1,173.62"
CA-2011-117016,2013-03-04,2013-03-09,Standard Class,2.33,3,15.55
CA-2011-117317,2013-10-19,2013-10-19,Same Day,6.59,3,13.44
CA-2011-117345,2013-08-01,2013-08-05,Standard Class,57.64,10,202.90
CA-2011-117429,2013-10-07,2013-10-13,Standard Class,21.11,5,129.92
CA-2011-117464,2013-07-22,2013-07-24,Second Class,162.75,20,"1,136.09"
CA-2011-117478,2013-09-21,2013-09-24,First Class,-5.04,3,6.57
CA-2011-117639,2013-05-21,2013-05-25,Standard Class,"1,449.52",10,"3,333.90"
CA-2011-117709,2013-05-04,2013-05-08,Standard Class,21.06,4,46.80
CA-2011-117765,2013-09-07,2013-09-13,Standard Class,178.27,11,643.78
CA-2011-118192,2013-01-13,2013-01-18,Standard Class,10.57,9,40.85
CA-2011-118276,2013-12-29,2014-01-02,Standard Class,-4.80,3,8.74
CA-2011-118304,2013-04-29,2013-05-04,Standard Class,5.19,2,19.98
CA-2011-118339,2013-03-17,2013-03-24,Standard Class,108.19,31,249.92
CA-2011-118962,2013-08-05,2013-08-09,Standard Class,84.36,12,472.04
CA-2011-118976,2013-04-28,2013-05-03,Standard Class,141.77,14,526.96
CA-2011-119032,2013-11-27,2013-12-03,Standard Class,1.32,2,3.76
CA-2011-119144,2013-11-16,2013-11-18,First Class,17.55,10,730.85
CA-2011-119151,2013-11-25,2013-11-29,Second Class,17.95,7,"1,393.87"
CA-2011-119172,2013-05-11,2013-05-15,Standard Class,-166.88,12,122.05
CA-2011-119375,2013-11-17,2013-11-22,Standard Class,833.76,15,"3,116.49"
CA-2011-119466,2013-12-15,2013-12-21,Standard Class,-7.48,2,8.54
CA-2011-119529,2013-11-03,2013-11-05,Second Class,2.82,2,5.76
CA-2011-119977,2013-10-08,2013-10-13,Second Class,55.76,4,123.92
CA-2011-120096,2013-07-04,2013-07-07,First Class,65.38,6,209.97
CA-2011-120243,2013-12-27,2013-12-30,Second Class,5.43,4,11.56
CA-2011-120278,2013-11-07,2013-11-12,Standard Class,90.43,14,317.48
CA-2011-120411,2013-09-20,2013-09-23,First Class,-67.02,7,504.55
CA-2011-120432,2013-08-24,2013-08-26,Second Class,6.63,3,25.50
CA-2011-120474,2013-12-01,2013-12-03,First Class,686.47,12,"2,854.48"
CA-2011-120544,2013-11-23,2013-11-27,Standard Class,-88.03,12,46.09
CA-2011-120670,2013-11-02,2013-11-06,Standard Class,239.98,10,799.92
CA-2011-120768,2013-12-19,2013-12-21,Second Class,240.60,21,"1,979.89"
CA-2011-120775,2013-10-03,2013-10-07,Standard Class,-23.28,15,57.91
CA-2011-120838,2013-03-23,2013-03-26,Second Class,123.70,8,935.15
CA-2011-120852,2013-12-20,2013-12-25,Standard Class,-57.73,7,84.87
CA-2011-120887,2013-09-27,2013-10-03,Standard Class,37.64,3,87.54
CA-2011-120950,2013-11-06,2013-11-11,Standard Class,20.97,6,43.68
CA-2011-121006,2013-11-10,2013-11-16,Standard Class,299.80,17,"1,194.87"
CA-2011-121167,2013-11-28,2013-11-30,Second Class,6.04,2,17.25
CA-2011-121286,2013-11-04,2013-11-08,Second Class,7.82,8,66.62
CA-2011-121573,2013-11-03,2013-11-07,Standard Class,240.69,8,840.71
CA-2011-121629,2013-11-28,2013-12-02,Standard Class,-199.77,5,998.85
CA-2011-121664,2013-05-06,2013-05-10,Standard Class,52.78,8,140.74
CA-2011-121727,2013-08-19,2013-08-24,Standard Class,1.74,2,10.72
CA-2011-121762,2013-02-14,2013-02-18,Standard Class,114.11,7,560.55
CA-2011-121769,2013-04-08,2013-04-12,Standard Class,-94.66,1,172.11
CA-2011-122070,2013-04-22,2013-04-24,Second Class,124.79,11,257.75
CA-2011-122217,2013-11-24,2013-11-29,Standard Class,48.91,5,111.15
CA-2011-122336,2013-04-13,2013-04-17,Second Class,-388.40,39,630.75
CA-2011-122567,2013-02-16,2013-02-21,Standard Class,-15.66,5,9.04
CA-2011-122588,2013-11-25,2013-11-27,Second Class,20.12,2,52.96
CA-2011-122609,2013-11-12,2013-11-18,Standard Class,18.69,5,153.11
CA-2011-122679,2013-07-22,2013-07-28,Standard Class,6.49,6,19.68
CA-2011-122749,2013-12-03,2013-12-09,Standard Class,134.39,4,479.96
CA-2011-122882,2013-09-07,2013-09-13,Standard Class,-561.14,10,539.07
CA-2011-122931,2013-09-29,2013-10-03,Standard Class,-413.52,27,"2,358.67"
CA-2011-123064,2013-06-30,2013-07-02,First Class,1.64,4,5.25
CA-2011-123127,2013-09-08,2013-09-12,Standard Class,4.20,2,16.78
CA-2011-123225,2013-07-11,2013-07-14,First Class,46.83,6,586.34
CA-2011-123253,2013-08-22,2013-08-25,Second Class,1.03,1,3.91
CA-2011-123260,2013-08-26,2013-08-30,Standard Class,22.98,8,176.80
CA-2011-123295,2013-07-18,2013-07-18,Same Day,-25.91,4,259.14
CA-2011-123316,2013-10-13,2013-10-17,Standard Class,2.81,3,7.75
CA-2011-123323,2013-11-07,2013-11-12,Standard Class,46.18,7,123.14
CA-2011-123344,2013-09-24,2013-09-29,Standard Class,8.48,4,211.96
CA-2011-123400,2013-02-02,2013-02-09,Standard Class,1.35,7,199.30
CA-2011-123477,2013-01-18,2013-01-21,Second Class,6.49,4,64.86
CA-2011-123498,2013-11-07,2013-11-09,First Class,-17.33,6,100.40
CA-2011-123855,2013-06-18,2013-06-23,Standard Class,12.23,5,139.80
CA-2011-123925,2013-12-17,2013-12-19,Second Class,11.21,3,40.05
CA-2011-124023,2013-04-07,2013-04-10,First Class,2.78,2,8.96
CA-2011-124079,2013-12-13,2013-12-17,Standard Class,3.53,5,93.17
CA-2011-124247,2013-12-16,2013-12-21,Standard Class,70.20,5,"1,403.92"
CA-2011-124394,2013-10-17,2013-10-22,Second Class,-35.24,8,130.76
CA-2011-124429,2013-05-27,2013-05-27,Same Day,-21.17,14,926.44
CA-2011-124464,2013-07-14,2013-07-20,Standard Class,11.05,1,39.48
CA-2011-124478,2013-08-08,2013-08-12,Standard Class,436.10,15,"1,109.73"
CA-2011-124513,2013-09-21,2013-09-25,Standard Class,17.17,3,66.03
CA-2011-124618,2013-05-02,2013-05-04,Second Class,90.00,2,479.98
CA-2011-124646,2013-06-22,2013-06-24,First Class,9.72,6,663.75
CA-2011-124688,2013-08-27,2013-08-29,First Class,481.44,12,"1,812.01"
CA-2011-124702,2013-11-18,2013-11-25,Standard Class,149.94,6,867.74
CA-2011-124709,2013-07-27,2013-07-29,Second Class,38.08,2,238.00
CA-2011-124723,2013-08-05,2013-08-12,Standard Class,41.93,2,489.23
CA-2011-124730,2013-11-26,2013-11-26,Same Day,139.19,24,414.63
CA-2011-124737,2013-08-23,2013-08-27,Standard Class,98.58,31,424.38
CA-2011-124807,2013-07-12,2013-07-15,Second Class,16.28,13,59.70
CA-2011-124856,2013-09-29,2013-10-03,Second Class,445.90,18,"1,609.32"
CA-2011-125136,2013-09-28,2013-10-03,Standard Class,35.02,10,106.94
CA-2011-125150,2013-05-16,2013-05-23,Standard Class,17.47,5,232.88
CA-2011-125171,2013-09-03,2013-09-03,Same Day,7.06,5,14.40
CA-2011-125514,2013-09-21,2013-09-22,First Class,21.52,6,68.71
CA-2011-125542,2013-12-05,2013-12-07,First Class,87.39,11,521.22
CA-2011-125556,2013-11-14,2013-11-16,Second Class,254.24,17,876.73
CA-2011-125612,2013-08-03,2013-08-08,Standard Class,51.15,14,163.62
CA-2011-125682,2013-11-22,2013-11-25,First Class,4.88,2,9.96
CA-2011-125731,2013-09-10,2013-09-16,Standard Class,156.31,12,"1,508.77"
CA-2011-125759,2013-02-08,2013-02-09,First Class,5.53,2,14.56
CA-2011-125829,2013-11-04,2013-11-11,Standard Class,159.64,21,"1,729.42"
CA-2011-125997,2013-09-20,2013-09-23,First Class,992.71,25,"3,519.37"
CA-2011-126032,2013-06-23,2013-06-28,Standard Class,1.08,3,86.38
CA-2011-126193,2013-09-07,2013-09-14,Standard Class,-536.13,13,321.98
CA-2011-126200,2013-08-25,2013-08-29,Standard Class,-59.62,6,38.06
CA-2011-126277,2013-09-13,2013-09-18,Second Class,-2.00,3,2.50
CA-2011-126333,2013-12-23,2013-12-28,Standard Class,1.81,1,5.18
CA-2011-126361,2013-08-04,2013-08-09,Second Class,576.56,27,"2,126.03"
CA-2011-126403,2013-09-09,2013-09-12,Second Class,543.57,16,"2,304.37"
CA-2011-126480,2013-09-20,2013-09-24,Standard Class,3.85,2,8.56
CA-2011-126522,2013-09-01,2013-09-05,Second Class,15.64,3,53.94
CA-2011-126683,2013-09-29,2013-10-01,Second Class,402.26,11,"2,354.98"
CA-2011-126760,2013-07-26,2013-08-02,Standard Class,110.70,17,"1,891.32"
CA-2011-126802,2013-12-29,2014-01-05,Standard Class,-50.67,3,38.98
CA-2011-126907,2013-11-01,2013-11-08,Standard Class,5.10,3,15.70
CA-2011-126963,2013-06-15,2013-06-15,Same Day,11.88,2,36.54
CA-2011-127012,2013-08-11,2013-08-15,Standard Class,26.88,4,76.28
CA-2011-127131,2013-11-24,2013-11-30,Standard Class,79.74,19,721.48
CA-2011-127159,2013-05-12,2013-05-15,First Class,10.78,7,34.79
CA-2011-127166,2013-05-21,2013-05-23,Second Class,-37.61,12,186.91
CA-2011-127187,2013-12-04,2013-12-08,Standard Class,62.39,2,129.98
CA-2011-127299,2013-09-19,2013-09-24,Standard Class,-937.42,9,"2,692.33"
CA-2011-127383,2013-12-31,2014-01-05,Standard Class,17.97,2,49.57
CA-2011-127446,2013-11-25,2013-11-30,Standard Class,-117.86,17,"1,273.62"
CA-2011-127488,2013-09-22,2013-09-24,Second Class,1.67,2,4.61
CA-2011-127523,2013-05-11,2013-05-18,Standard Class,9.70,3,35.91
CA-2011-127558,2013-11-15,2013-11-18,First Class,155.32,8,803.04
CA-2011-127586,2013-09-26,2013-09-30,Standard Class,80.63,2,310.12
CA-2011-127614,2013-02-11,2013-02-15,Standard Class,186.74,11,"1,508.13"
CA-2011-127691,2013-07-22,2013-07-27,Standard Class,59.26,4,165.94
CA-2011-127859,2013-03-17,2013-03-20,Second Class,41.15,6,126.62
CA-2011-127866,2013-07-20,2013-07-23,First Class,185.39,11,602.43
CA-2011-127936,2013-09-02,2013-09-04,First Class,8.07,3,21.24
CA-2011-127964,2013-03-03,2013-03-08,Standard Class,54.65,9,161.07
CA-2011-128055,2013-03-31,2013-04-05,Standard Class,267.42,4,726.55
CA-2011-128062,2013-11-19,2013-11-22,Second Class,1.98,1,5.88
CA-2011-128146,2013-06-21,2013-06-25,Standard Class,358.28,9,"1,326.69"
CA-2011-128209,2013-11-17,2013-11-22,Standard Class,676.46,13,"6,160.62"
CA-2011-128237,2013-03-25,2013-03-30,Standard Class,31.46,14,92.36
